[2023-11-06 19-49-17] Computations (cuda)
===================== -------------------
Data                : "imagenet"
Model               : "mobilenet"
Model attr.         : "alexnet"
Task                : "attack"
Kind of task        : "attr"
Opt. scale          : 15
Opt. dimension      : 2000
Opt. mode size      : 3
Opt. budget         : 10000
Opt. batch size     : 100
Opt. k-top          : 10
Opt. gd iters       : 100
Opt. learn. rate    : 0.01
Opt. TT-rank        : 5
=========================================


.... Loading "imagenet" dataset
DONE (     0.01 sec.) 


.... Loading "mobilenet" model
DONE (     3.15 sec.) 


.... Loading "alexnet" model
DONE (     2.60 sec.) 


.... Start attack on images

--> #    0 | c        0 | y     5.8e-01 | y_next 1.6e-02

protes > m 1.0e+02 | t 7.389e+00 | y  5.7278e-01
protes > m 2.0e+02 | t 1.017e+01 | y  5.2086e-01
protes > m 3.0e+02 | t 1.292e+01 | y  5.1132e-01
protes > m 4.0e+02 | t 1.568e+01 | y  4.8927e-01
protes > m 5.0e+02 | t 1.844e+01 | y  4.6032e-01
protes > m 7.0e+02 | t 2.395e+01 | y  3.9947e-01
protes > m 1.1e+03 | t 3.497e+01 | y  3.9284e-01
protes > m 1.2e+03 | t 3.772e+01 | y  3.7610e-01
protes > m 1.3e+03 | t 4.047e+01 | y  3.6221e-01
protes > m 1.4e+03 | t 4.322e+01 | y  3.4935e-01
protes > m 2.0e+03 | t 5.971e+01 | y  3.4066e-01
protes > m 2.1e+03 | t 6.247e+01 | y  3.2998e-01
protes > m 2.2e+03 | t 6.521e+01 | y  3.0472e-01
protes > m 2.3e+03 | t 6.797e+01 | y  2.9403e-01
protes > m 2.5e+03 | t 7.347e+01 | y  2.9242e-01
protes > m 2.9e+03 | t 8.448e+01 | y  2.6848e-01
protes > m 3.2e+03 | t 9.272e+01 | y  2.6309e-01
protes > m 3.4e+03 | t 9.823e+01 | y  2.5660e-01
protes > m 3.5e+03 | t 1.010e+02 | y  2.4087e-01
protes > m 3.6e+03 | t 1.037e+02 | y  2.3757e-01
protes > m 3.8e+03 | t 1.093e+02 | y  2.3386e-01
protes > m 3.9e+03 | t 1.120e+02 | y  2.0371e-01
protes > m 4.2e+03 | t 1.203e+02 | y  2.0322e-01
protes > m 4.8e+03 | t 1.368e+02 | y  2.0298e-01
protes > m 4.9e+03 | t 1.395e+02 | y  1.8671e-01
protes > m 5.6e+03 | t 1.588e+02 | y  1.8659e-01
protes > m 5.7e+03 | t 1.615e+02 | y  1.8392e-01
protes > m 5.9e+03 | t 1.670e+02 | y  1.8258e-01
protes > m 6.0e+03 | t 1.698e+02 | y  1.7857e-01
protes > m 6.1e+03 | t 1.725e+02 | y  1.7846e-01
protes > m 6.2e+03 | t 1.752e+02 | y  1.5408e-01
protes > m 6.8e+03 | t 1.916e+02 | y  1.5117e-01
protes > m 6.9e+03 | t 1.943e+02 | y  1.4598e-01
protes > m 7.0e+03 | t 1.971e+02 | y  1.4193e-01
protes > m 7.1e+03 | t 1.998e+02 | y  1.2151e-01
protes > m 7.4e+03 | t 2.079e+02 | y  1.1609e-01
protes > m 7.9e+03 | t 2.216e+02 | y  1.1170e-01
protes > m 8.0e+03 | t 2.243e+02 | y  1.1068e-01
protes > m 8.5e+03 | t 2.379e+02 | y  1.0882e-01
protes > m 8.6e+03 | t 2.406e+02 | y  1.0566e-01
protes > m 8.7e+03 | t 2.434e+02 | y  1.0354e-01
protes > m 9.1e+03 | t 2.542e+02 | y  9.8945e-02
protes > m 9.3e+03 | t 2.597e+02 | y  9.2053e-02
protes > m 9.4e+03 | t 2.624e+02 | y  9.1182e-02
protes > m 9.5e+03 | t 2.651e+02 | y  8.9026e-02
protes > m 9.8e+03 | t 2.733e+02 | y  8.6431e-02
protes > m 9.9e+03 | t 2.760e+02 | y  8.6151e-02
protes > m 1.0e+04 | t 2.769e+02 | y  8.6151e-02 <<< DONE

    > fail | evals 10000

--> #    1 | c        1 | y     6.0e-01 | y_next 3.8e-03

protes > m 1.0e+02 | t 5.271e+00 | y  7.2925e-01
protes > m 2.0e+02 | t 7.983e+00 | y  6.6492e-01
protes > m 3.0e+02 | t 1.070e+01 | y  6.3220e-01
protes > m 4.0e+02 | t 1.341e+01 | y  5.4921e-01
protes > m 6.0e+02 | t 1.885e+01 | y  5.2271e-01
protes > m 7.0e+02 | t 2.157e+01 | y  5.0578e-01
protes > m 8.0e+02 | t 2.427e+01 | y  4.6743e-01
protes > m 9.0e+02 | t 2.699e+01 | y  4.6273e-01
protes > m 1.0e+03 | t 2.968e+01 | y  4.4659e-01
protes > m 1.1e+03 | t 3.238e+01 | y  4.0643e-01
protes > m 1.4e+03 | t 4.047e+01 | y  3.9392e-01
protes > m 1.5e+03 | t 4.316e+01 | y  3.8046e-01
protes > m 1.7e+03 | t 4.854e+01 | y  3.6768e-01
protes > m 1.9e+03 | t 5.392e+01 | y  3.6719e-01
protes > m 2.0e+03 | t 5.662e+01 | y  3.5446e-01
protes > m 2.1e+03 | t 5.931e+01 | y  3.4770e-01
protes > m 2.3e+03 | t 6.469e+01 | y  3.3679e-01
protes > m 2.6e+03 | t 7.276e+01 | y  3.1907e-01
protes > m 3.1e+03 | t 8.620e+01 | y  3.0047e-01
protes > m 3.3e+03 | t 9.159e+01 | y  2.9486e-01
protes > m 3.4e+03 | t 9.428e+01 | y  2.8431e-01
protes > m 3.5e+03 | t 9.697e+01 | y  2.8345e-01
protes > m 3.7e+03 | t 1.023e+02 | y  2.7468e-01
protes > m 3.8e+03 | t 1.050e+02 | y  2.6979e-01
protes > m 3.9e+03 | t 1.077e+02 | y  2.4869e-01
protes > m 4.2e+03 | t 1.158e+02 | y  2.4479e-01
protes > m 4.5e+03 | t 1.238e+02 | y  2.3778e-01
protes > m 4.6e+03 | t 1.265e+02 | y  2.2581e-01
protes > m 4.8e+03 | t 1.319e+02 | y  2.2456e-01
protes > m 5.0e+03 | t 1.373e+02 | y  2.2346e-01
protes > m 5.1e+03 | t 1.400e+02 | y  2.2013e-01
protes > m 5.2e+03 | t 1.427e+02 | y  2.1800e-01
protes > m 5.3e+03 | t 1.454e+02 | y  2.1224e-01
protes > m 5.4e+03 | t 1.481e+02 | y  2.1067e-01
protes > m 5.5e+03 | t 1.507e+02 | y  2.0152e-01
protes > m 6.1e+03 | t 1.669e+02 | y  1.9136e-01
protes > m 6.4e+03 | t 1.749e+02 | y  1.8118e-01
protes > m 6.5e+03 | t 1.776e+02 | y  1.7908e-01
protes > m 6.6e+03 | t 1.803e+02 | y  1.7745e-01
protes > m 6.8e+03 | t 1.857e+02 | y  1.7248e-01
protes > m 6.9e+03 | t 1.884e+02 | y  1.7041e-01
protes > m 7.0e+03 | t 1.911e+02 | y  1.6608e-01
protes > m 7.1e+03 | t 1.937e+02 | y  1.6594e-01
protes > m 7.2e+03 | t 1.964e+02 | y  1.5791e-01
protes > m 7.5e+03 | t 2.045e+02 | y  1.5545e-01
protes > m 7.7e+03 | t 2.098e+02 | y  1.5304e-01
protes > m 7.8e+03 | t 2.125e+02 | y  1.5065e-01
protes > m 7.9e+03 | t 2.152e+02 | y  1.4521e-01
protes > m 8.4e+03 | t 2.286e+02 | y  1.4323e-01
protes > m 8.5e+03 | t 2.313e+02 | y  1.4319e-01
protes > m 8.6e+03 | t 2.340e+02 | y  1.3629e-01
protes > m 8.7e+03 | t 2.367e+02 | y  1.2624e-01
protes > m 1.0e+04 | t 2.698e+02 | y  1.2412e-01 <<< DONE

    > fail | evals 10000

--> #    2 | c        2 | y     7.1e-01 | y_next 8.6e-02

protes > m 1.0e+02 | t 5.157e+00 | y  6.8506e-01
protes > m 2.0e+02 | t 7.835e+00 | y  6.7559e-01
protes > m 3.0e+02 | t 1.053e+01 | y  6.7194e-01
protes > m 4.0e+02 | t 1.322e+01 | y  6.6289e-01
protes > m 5.0e+02 | t 1.593e+01 | y  6.5033e-01
protes > m 6.0e+02 | t 1.861e+01 | y  6.4901e-01
protes > m 7.0e+02 | t 2.131e+01 | y  6.4662e-01
protes > m 8.0e+02 | t 2.398e+01 | y  6.4468e-01
protes > m 9.0e+02 | t 2.668e+01 | y  6.4093e-01
protes > m 1.0e+03 | t 2.937e+01 | y  6.3589e-01
protes > m 1.1e+03 | t 3.208e+01 | y  6.3233e-01
protes > m 1.2e+03 | t 3.476e+01 | y  6.3175e-01
protes > m 1.3e+03 | t 3.746e+01 | y  6.2382e-01
protes > m 1.5e+03 | t 4.283e+01 | y  6.2226e-01
protes > m 1.7e+03 | t 4.820e+01 | y  6.1505e-01
protes > m 1.9e+03 | t 5.359e+01 | y  6.1153e-01
protes > m 2.3e+03 | t 6.433e+01 | y  6.0756e-01
protes > m 2.6e+03 | t 7.240e+01 | y  6.0555e-01
protes > m 2.7e+03 | t 7.509e+01 | y  6.0492e-01
protes > m 2.8e+03 | t 7.777e+01 | y  6.0456e-01
protes > m 2.9e+03 | t 8.046e+01 | y  6.0092e-01
protes > m 3.0e+03 | t 8.314e+01 | y  6.0044e-01
protes > m 3.2e+03 | t 8.852e+01 | y  5.9955e-01
protes > m 3.3e+03 | t 9.121e+01 | y  5.9847e-01
protes > m 3.5e+03 | t 9.658e+01 | y  5.9576e-01
protes > m 3.7e+03 | t 1.019e+02 | y  5.9527e-01
protes > m 3.8e+03 | t 1.046e+02 | y  5.9485e-01
protes > m 4.0e+03 | t 1.100e+02 | y  5.8921e-01
protes > m 4.1e+03 | t 1.127e+02 | y  5.8685e-01
protes > m 4.2e+03 | t 1.154e+02 | y  5.8546e-01
protes > m 4.3e+03 | t 1.181e+02 | y  5.8375e-01
protes > m 4.5e+03 | t 1.235e+02 | y  5.8313e-01
protes > m 4.6e+03 | t 1.261e+02 | y  5.7330e-01
protes > m 5.3e+03 | t 1.449e+02 | y  5.6924e-01
protes > m 5.7e+03 | t 1.557e+02 | y  5.6725e-01
protes > m 5.9e+03 | t 1.611e+02 | y  5.6569e-01
protes > m 6.1e+03 | t 1.665e+02 | y  5.6467e-01
protes > m 6.3e+03 | t 1.718e+02 | y  5.6268e-01
protes > m 6.4e+03 | t 1.745e+02 | y  5.6219e-01
protes > m 6.5e+03 | t 1.772e+02 | y  5.6206e-01
protes > m 6.6e+03 | t 1.799e+02 | y  5.6147e-01
protes > m 6.7e+03 | t 1.826e+02 | y  5.6055e-01
protes > m 6.8e+03 | t 1.853e+02 | y  5.5750e-01
protes > m 7.0e+03 | t 1.906e+02 | y  5.5593e-01
protes > m 7.1e+03 | t 1.933e+02 | y  5.5393e-01
protes > m 7.3e+03 | t 1.987e+02 | y  5.5384e-01
protes > m 7.4e+03 | t 2.014e+02 | y  5.5268e-01
protes > m 7.5e+03 | t 2.041e+02 | y  5.5182e-01
protes > m 7.6e+03 | t 2.068e+02 | y  5.4990e-01
protes > m 7.8e+03 | t 2.122e+02 | y  5.4811e-01
protes > m 8.0e+03 | t 2.176e+02 | y  5.4440e-01
protes > m 8.3e+03 | t 2.256e+02 | y  5.4388e-01
protes > m 8.5e+03 | t 2.310e+02 | y  5.4111e-01
protes > m 8.6e+03 | t 2.337e+02 | y  5.4063e-01
protes > m 8.9e+03 | t 2.418e+02 | y  5.4006e-01
protes > m 9.0e+03 | t 2.444e+02 | y  5.3697e-01
protes > m 9.4e+03 | t 2.552e+02 | y  5.3408e-01
protes > m 9.5e+03 | t 2.579e+02 | y  5.3303e-01
protes > m 9.8e+03 | t 2.659e+02 | y  5.3246e-01
protes > m 9.9e+03 | t 2.686e+02 | y  5.3191e-01
protes > m 1.0e+04 | t 2.695e+02 | y  5.2623e-01 <<< DONE

    > fail | evals 10000

--> #    3 | c        3 | y     7.9e-01 | y_next 4.5e-02

protes > m 1.0e+02 | t 5.122e+00 | y  7.9997e-01
protes > m 2.0e+02 | t 7.808e+00 | y  7.8829e-01
protes > m 3.0e+02 | t 1.048e+01 | y  7.7409e-01
protes > m 4.0e+02 | t 1.317e+01 | y  7.6788e-01
protes > m 5.0e+02 | t 1.584e+01 | y  7.4672e-01
protes > m 6.0e+02 | t 1.853e+01 | y  7.4382e-01
protes > m 7.0e+02 | t 2.120e+01 | y  7.3222e-01
protes > m 8.0e+02 | t 2.388e+01 | y  7.2520e-01
protes > m 9.0e+02 | t 2.655e+01 | y  7.1430e-01
protes > m 1.0e+03 | t 2.924e+01 | y  7.1413e-01
protes > m 1.1e+03 | t 3.191e+01 | y  7.0367e-01
protes > m 1.2e+03 | t 3.460e+01 | y  6.9818e-01
protes > m 1.3e+03 | t 3.727e+01 | y  6.8834e-01
protes > m 1.6e+03 | t 4.530e+01 | y  6.7887e-01
protes > m 1.8e+03 | t 5.066e+01 | y  6.7848e-01
protes > m 1.9e+03 | t 5.333e+01 | y  6.6736e-01
protes > m 2.1e+03 | t 5.869e+01 | y  6.6622e-01
protes > m 2.2e+03 | t 6.137e+01 | y  6.5999e-01
protes > m 2.3e+03 | t 6.404e+01 | y  6.5739e-01
protes > m 2.4e+03 | t 6.673e+01 | y  6.4794e-01
protes > m 2.5e+03 | t 6.940e+01 | y  6.3826e-01
protes > m 2.6e+03 | t 7.209e+01 | y  6.3428e-01
protes > m 2.7e+03 | t 7.475e+01 | y  6.3424e-01
protes > m 2.8e+03 | t 7.745e+01 | y  6.3007e-01
protes > m 2.9e+03 | t 8.013e+01 | y  6.2567e-01
protes > m 3.0e+03 | t 8.283e+01 | y  6.2415e-01
protes > m 3.1e+03 | t 8.550e+01 | y  6.1961e-01
protes > m 3.4e+03 | t 9.355e+01 | y  6.1389e-01
protes > m 3.5e+03 | t 9.621e+01 | y  6.0951e-01
protes > m 3.6e+03 | t 9.890e+01 | y  6.0534e-01
protes > m 3.9e+03 | t 1.069e+02 | y  6.0291e-01
protes > m 4.0e+03 | t 1.096e+02 | y  5.9962e-01
protes > m 4.1e+03 | t 1.123e+02 | y  5.9373e-01
protes > m 4.3e+03 | t 1.176e+02 | y  5.8231e-01
