Using cache found in /trinity/home/a.chertkov/.cache/torch/hub/pytorch_vision_v0.10.0
Using cache found in /trinity/home/a.chertkov/.cache/torch/hub/pytorch_vision_v0.10.0
No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
[2023-04-10 01-21-57] Computations (cuda)
===================== -------------------
Data                : "imagenet"
Model               : "alexnet"
Task                : "attack"
Kind of task        : "attr"
=========================================


.... Loading "imagenet" dataset


.... Loading "alexnet" model
DONE (    20.83 sec.) 


.... Loading "vgg19" model
DONE (     3.17 sec.) 

Image : [-2.1e+00,  2.5e+00] (avg: -6.5e-02)

.... Optimization with PROTES method:
protes > m 5.0e+01 | t 7.547e+00 | y -8.0149e-01
protes > m 2.0e+02 | t 8.378e+00 | y -7.9831e-01
protes > m 2.5e+02 | t 8.649e+00 | y -7.9088e-01
protes > m 4.5e+02 | t 9.736e+00 | y -7.8482e-01
protes > m 6.0e+02 | t 1.055e+01 | y -7.8406e-01
protes > m 6.5e+02 | t 1.082e+01 | y -7.7725e-01
protes > m 7.5e+02 | t 1.136e+01 | y -7.6205e-01
protes > m 9.0e+02 | t 1.217e+01 | y -7.5535e-01
protes > m 1.2e+03 | t 1.405e+01 | y -7.3874e-01
protes > m 1.9e+03 | t 1.756e+01 | y -7.0403e-01
protes > m 2.8e+03 | t 2.215e+01 | y -7.0197e-01
protes > m 2.8e+03 | t 2.269e+01 | y -6.9736e-01
protes > m 3.2e+03 | t 2.458e+01 | y -6.9633e-01
protes > m 3.2e+03 | t 2.485e+01 | y -6.9012e-01
protes > m 3.4e+03 | t 2.593e+01 | y -6.8542e-01
protes > m 3.7e+03 | t 2.728e+01 | y -6.7816e-01
protes > m 3.8e+03 | t 2.782e+01 | y -6.6955e-01
protes > m 3.8e+03 | t 2.809e+01 | y -6.6729e-01
protes > m 3.9e+03 | t 2.835e+01 | y -6.4958e-01
protes > m 4.2e+03 | t 2.970e+01 | y -6.2808e-01
protes > m 4.6e+03 | t 3.239e+01 | y -6.2509e-01
protes > m 5.0e+03 | t 3.428e+01 | y -6.0732e-01
protes > m 5.1e+03 | t 3.482e+01 | y -6.0022e-01
protes > m 5.6e+03 | t 3.751e+01 | y -5.9235e-01
protes > m 5.8e+03 | t 3.832e+01 | y -5.8653e-01
protes > m 5.9e+03 | t 3.913e+01 | y -5.2274e-01
protes > m 6.8e+03 | t 4.371e+01 | y -5.1574e-01
protes > m 7.2e+03 | t 4.613e+01 | y -5.1462e-01
protes > m 7.4e+03 | t 4.694e+01 | y -5.1411e-01
protes > m 7.4e+03 | t 4.721e+01 | y -5.0934e-01
protes > m 7.5e+03 | t 4.774e+01 | y -5.0855e-01
protes > m 7.6e+03 | t 4.853e+01 | y -4.8680e-01
protes > m 7.7e+03 | t 4.880e+01 | y -4.8673e-01
protes > m 8.0e+03 | t 5.039e+01 | y -4.8325e-01
protes > m 8.1e+03 | t 5.092e+01 | y -4.6391e-01
protes > m 8.2e+03 | t 5.145e+01 | y -4.4813e-01
protes > m 8.2e+03 | t 5.172e+01 | y -4.4605e-01
protes > m 8.4e+03 | t 5.278e+01 | y -4.4322e-01
protes > m 8.8e+03 | t 5.464e+01 | y -4.4249e-01
protes > m 8.8e+03 | t 5.491e+01 | y -4.3166e-01
protes > m 9.1e+03 | t 5.624e+01 | y -4.2404e-01
protes > m 9.2e+03 | t 5.677e+01 | y -4.1663e-01
protes > m 9.6e+03 | t 5.890e+01 | y -4.1532e-01
protes > m 9.6e+03 | t 5.916e+01 | y -3.9423e-01
protes > m 1.0e+04 | t 6.156e+01 | y -3.9380e-01
protes > m 1.0e+04 | t 6.289e+01 | y -3.8583e-01
protes > m 1.0e+04 | t 6.342e+01 | y -3.8174e-01
protes > m 1.1e+04 | t 6.449e+01 | y -3.7502e-01
protes > m 1.1e+04 | t 6.530e+01 | y -3.6732e-01
protes > m 1.1e+04 | t 6.583e+01 | y -3.6646e-01
protes > m 1.1e+04 | t 6.690e+01 | y -3.5554e-01
protes > m 1.2e+04 | t 6.985e+01 | y -3.4887e-01
protes > m 1.2e+04 | t 7.119e+01 | y -3.4793e-01
protes > m 1.2e+04 | t 7.146e+01 | y -3.4136e-01
protes > m 1.2e+04 | t 7.173e+01 | y -3.4130e-01
protes > m 1.2e+04 | t 7.280e+01 | y -3.3343e-01
